bank_receipt_id,bank_account_id,bank_date,receipt_amount,currency,fx_rate_to_usd,legal_entity,bank_reference,source_bank_file,matched_status,created_at
BR-000001,BANK-ACM-01,2025-12-06,5428.81,USD,1.0,Acme US Inc,WIRE949957,bank_2025-12.csv,matched,2025-12-06
BR-000002,BANK-ACM-01,2026-03-17,6900.0,USD,1.0,Acme US Inc,WIRE615813,bank_2026-03.csv,matched,2026-03-17
BR-000003,BANK-ACM-01,2026-05-31,6900.0,USD,1.0,Acme US Inc,WIRE538901,bank_2026-05.csv,matched,2026-05-31
BR-000004,BANK-ACM-01,2025-12-01,2508.33,USD,1.0,Acme US Inc,WIRE575402,bank_2025-12.csv,matched,2025-12-01
BR-000005,BANK-ACM-01,2026-01-19,2858.75,EUR,1.08,Acme US Inc,WIRE683174,bank_2026-01.csv,unmatched,2026-01-19
BR-000006,BANK-ACM-01,2026-03-02,2508.33,USD,1.0,Acme US Inc,WIRE830646,bank_2026-03.csv,matched,2026-03-02
BR-000007,BANK-ACM-01,2026-04-27,1827.45,USD,1.0,Acme US Inc,WIRE738243,bank_2026-04.csv,matched,2026-04-27
BR-000008,BANK-ACM-01,2026-05-25,2508.33,USD,1.0,Acme US Inc,WIRE557181,bank_2026-05.csv,matched,2026-05-25
BR-000009,BANK-ACM-01,2026-02-24,9111.11,EUR,1.08,Acme EU GmbH,WIRE485005,bank_2026-02.csv,matched,2026-02-24
BR-000010,BANK-ACM-01,2026-04-02,1916.66,EUR,1.08,Acme EU GmbH,WIRE929574,bank_2026-04.csv,matched,2026-04-02
BR-000011,BANK-ACM-01,2026-01-30,23254.62,USD,1.0,Acme US Inc,WIRE728211,bank_2026-01.csv,matched,2026-01-30
BR-000012,BANK-ACM-01,2026-03-27,19206.71,USD,1.0,Acme US Inc,WIRE349491,bank_2026-03.csv,matched,2026-03-27
BR-000013,BANK-ACM-01,2026-05-22,20706.38,USD,1.0,Acme US Inc,WIRE989340,bank_2026-05.csv,matched,2026-05-22
BR-000014,BANK-ACM-01,2025-10-22,509753.11,USD,1.0,Acme US Inc,WIRE806648,bank_2025-10.csv,matched,2025-10-22
BR-000015,BANK-ACM-01,2025-10-10,79900.0,USD,1.0,Acme US Inc,WIRE945159,bank_2025-10.csv,matched,2025-10-10
BR-000016,BANK-ACM-01,2025-09-24,16400.0,USD,1.0,Acme US Inc,WIRE541769,bank_2025-09.csv,matched,2025-09-24
BR-000017,BANK-ACM-01,2025-08-16,3801.34,USD,1.0,Acme US Inc,WIRE565103,bank_2025-08.csv,matched,2025-08-16
BR-000018,BANK-ACM-01,2025-10-14,4554.08,USD,1.0,Acme US Inc,WIRE711518,bank_2025-10.csv,matched,2025-10-14
BR-000019,BANK-ACM-01,2025-11-27,5299.38,USD,1.0,Acme US Inc,WIRE240551,bank_2025-11.csv,matched,2025-11-27
BR-000020,BANK-ACM-01,2026-01-08,3917.68,USD,1.0,Acme US Inc,WIRE125824,bank_2026-01.csv,unmatched,2026-01-08
BR-000021,BANK-ACM-01,2026-04-22,4312.84,USD,1.0,Acme US Inc,WIRE316714,bank_2026-04.csv,matched,2026-04-22
BR-000022,BANK-ACM-01,2026-04-28,3728.23,USD,1.0,Acme US Inc,WIRE758706,bank_2026-04.csv,matched,2026-04-28
BR-000023,BANK-ACM-01,2026-05-31,5127.21,USD,1.0,Acme US Inc,WIRE992540,bank_2026-05.csv,matched,2026-05-31
BR-000024,BANK-ACM-01,2025-08-12,17803.15,EUR,1.08,Acme US Inc,WIRE152883,bank_2025-08.csv,matched,2025-08-12
BR-000025,BANK-ACM-01,2025-09-20,14712.17,USD,1.0,Acme US Inc,WIRE104915,bank_2025-09.csv,matched,2025-09-20
BR-000026,BANK-ACM-01,2026-01-17,13117.39,USD,1.0,Acme US Inc,WIRE883417,bank_2026-01.csv,matched,2026-01-17
BR-000027,BANK-ACM-01,2026-01-10,15690.22,USD,1.0,Acme US Inc,WIRE979606,bank_2026-01.csv,matched,2026-01-10
BR-000028,BANK-ACM-01,2026-02-24,15025.69,USD,1.0,Acme US Inc,WIRE304730,bank_2026-02.csv,matched,2026-02-24
BR-000029,BANK-ACM-01,2026-05-17,18784.5,USD,1.0,Acme US Inc,WIRE617555,bank_2026-05.csv,matched,2026-05-17
BR-000030,BANK-ACM-01,2026-05-31,16401.49,USD,1.0,Acme US Inc,WIRE462357,bank_2026-05.csv,matched,2026-05-31
BR-000031,BANK-ACM-01,2025-10-01,91777.78,EUR,1.08,Acme EU GmbH,WIRE166790,bank_2025-10.csv,matched,2025-10-01
BR-000032,BANK-ACM-01,2026-04-28,712633.02,EUR,1.08,Acme EU GmbH,WIRE793690,bank_2026-04.csv,matched,2026-04-28
BR-000033,BANK-ACM-01,2025-09-26,7675.0,USD,1.0,Acme US Inc,WIRE736761,bank_2025-09.csv,matched,2025-09-26
BR-000034,BANK-ACM-01,2025-11-28,7675.0,USD,1.0,Acme US Inc,WIRE724891,bank_2025-11.csv,matched,2025-11-28
BR-000035,BANK-ACM-01,2026-03-06,7675.0,USD,1.0,Acme US Inc,WIRE182638,bank_2026-03.csv,unmatched,2026-03-06
BR-000036,BANK-ACM-01,2026-05-31,8826.25,USD,1.0,Acme US Inc,WIRE573354,bank_2026-05.csv,matched,2026-05-31
BR-000037,BANK-ACM-01,2025-09-24,241889.76,GBP,1.27,Acme UK Ltd,WIRE686213,bank_2025-09.csv,matched,2025-09-24
BR-000038,BANK-ACM-01,2025-10-23,5850.0,USD,1.0,Acme US Inc,WIRE375070,bank_2025-10.csv,matched,2025-10-23
BR-000039,BANK-ACM-01,2025-09-30,470551.18,GBP,1.27,Acme UK Ltd,WIRE748315,bank_2025-09.csv,matched,2025-09-30
BR-000040,BANK-ACM-01,2025-11-13,470551.18,GBP,1.27,Acme UK Ltd,WIRE557905,bank_2025-11.csv,matched,2025-11-13
BR-000041,BANK-ACM-01,2026-03-19,8415000.01,ARS,0.0011,Acme Argentina SA,WIRE553082,bank_2026-03.csv,matched,2026-03-19
BR-000042,BANK-ACM-01,2026-03-18,8415000.01,ARS,0.0011,Acme Argentina SA,WIRE916406,bank_2026-03.csv,matched,2026-03-18
BR-000043,BANK-ACM-01,2026-03-10,2294.25,USD,1.0,Acme US Inc,WIRE801345,bank_2026-03.csv,matched,2026-03-10
