cash_application_id,payment_id,bank_receipt_id,invoice_id,customer_id,applied_date,applied_amount,discount_taken,writeoff_amount,fx_gain_loss,application_status,unapplied_reason,created_at
CA-001,PAY-001,BR-001,INV-001,CUST-004,2026-07-27,6146.8,0,0,0,Applied,,2026-07-27
CA-002,PAY-002,BR-002,INV-002,CUST-007,2026-07-28,2160.0,0,0,0,Applied,,2026-07-28
CA-003,PAY-003,BR-003,INV-003,CUST-007,2026-07-28,2160.0,0,0,0,Applied,,2026-07-28
CA-004,PAY-004,BR-004,INV-004,CUST-010,2026-07-29,3630.0,0,0,0,Applied,,2026-07-29
CA-005,PAY-005,BR-005,INV-005,CUST-013,2026-07-30,5400.0,0,0,0,Applied,,2026-07-30
CA-006,PAY-006,BR-006,INV-006,CUST-013,2026-08-30,5400.0,0,0,0,Applied,,2026-08-30
CA-007,PAY-007,BR-007,INV-007,CUST-016,2026-08-01,2420.0,0,0,0,Applied,,2026-08-01
CA-008,PAY-008,BR-008,INV-008,CUST-019,2026-08-02,1620.0,0,0,0,Applied,,2026-08-02
CA-009,PAY-009,BR-009,INV-009,CUST-022,2026-08-03,2420.0,0,0,0,Applied,,2026-08-03
CA-010,PAY-010,BR-010,INV-010,CUST-022,2026-09-03,2420.0,0,0,0,Applied,,2026-09-03
