revenue_schedule_id,contract_id,invoice_id,customer_id,revenue_month,performance_obligation,recognition_method,recognized_revenue,deferred_revenue_amount,currency,legal_entity,gl_revenue_account,recognition_status
REV-000001,CTR-00001,INV-000001,CUST-0001,2026-05,subscription,ratable,1082416.67,0.0,BRL,Acme Brasil Ltda,4000-Subscription-Rev,recognized
REV-000002,CTR-00001,INV-000002,CUST-0001,2026-06,subscription,ratable,1082416.67,0.0,BRL,Acme Brasil Ltda,4000-Subscription-Rev,recognized
REV-000003,CTR-00002,INV-000003,CUST-0001,2025-04,services,as_delivered,3672250.0,0.0,BRL,Acme Brasil Ltda,4200-Services-Rev,recognized
REV-000004,CTR-00002,INV-000004,CUST-0001,2025-05,services,as_delivered,3672250.0,0.0,BRL,Acme Brasil Ltda,4200-Services-Rev,recognized
REV-000005,CTR-00004,INV-000005,CUST-0001,2026-04,services,as_delivered,656166.67,0.0,BRL,Acme Brasil Ltda,4200-Services-Rev,recognized
REV-000006,CTR-00004,INV-000006,CUST-0001,2026-05,services,as_delivered,656166.67,0.0,BRL,Acme Brasil Ltda,4200-Services-Rev,recognized
REV-000007,CTR-00004,INV-000007,CUST-0001,2026-06,services,as_delivered,656166.67,0.0,BRL,Acme Brasil Ltda,4200-Services-Rev,recognized
REV-000008,CTR-00005,INV-000008,CUST-0001,2025-07,services,as_delivered,8411500.0,0.0,BRL,Acme Brasil Ltda,4200-Services-Rev,recognized
REV-000009,CTR-00006,INV-000009,CUST-0002,2026-06,usage,point_in_time,5787.77,0.0,USD,Acme US Inc,4100-Usage-Rev,recognized
REV-000010,CTR-00007,INV-000010,CUST-0002,2025-03,services,as_delivered,22800.0,0.0,USD,Acme US Inc,4200-Services-Rev,recognized
REV-000011,CTR-00008,INV-000011,CUST-0002,2025-08,usage,point_in_time,30964.45,0.0,USD,Acme US Inc,4100-Usage-Rev,recognized
REV-000012,CTR-00009,INV-000012,CUST-0003,2026-06,usage,point_in_time,2604.04,0.0,USD,Acme US Inc,4100-Usage-Rev,recognized
REV-000013,CTR-00010,INV-000013,CUST-0003,2026-04,usage,point_in_time,1596.04,0.0,USD,Acme US Inc,4100-Usage-Rev,recognized
REV-000014,CTR-00010,INV-000014,CUST-0003,2026-05,usage,point_in_time,1716.64,0.0,USD,Acme US Inc,4100-Usage-Rev,recognized
