payment_id,customer_id,payment_date,payment_amount,currency,payment_method,bank_receipt_id,remittance_reference,payer_name,payment_status,created_at
PMT-000001,CUST-0001,2026-06-30,873210.89,BRL,Wire,BR-000001,INV-000001,Summit Logistics,received,2026-06-30
PMT-000002,CUST-0001,2025-07-03,4296532.5,BRL,ACH,BR-000002,INV-000003,Summit Logistics,received,2025-07-03
PMT-000003,CUST-0001,2025-08-06,4296532.5,BRL,ACH,BR-000003,INV-000004,Summit Logistics,received,2025-08-06
PMT-000004,CUST-0001,2026-06-27,767715.0,BRL,Wire,BR-000004,INV-000005,Summit Logistics,received,2026-06-27
PMT-000005,CUST-0001,2025-10-05,9841455.0,BRL,Wire,BR-000005,INV-000008,Summit Logistics,received,2025-10-05
PMT-000006,CUST-0002,2025-05-29,22800.0,USD,ACH,BR-000006,INV-000010,Lumen Foods,received,2025-05-29
PMT-000007,CUST-0002,2025-11-03,30964.45,USD,Wire,BR-000007,INV-000011,Lumen Foods,received,2025-11-03
PMT-000008,CUST-0003,2026-06-30,1596.04,USD,Card,BR-000008,INV-000013,Pioneer Mobility,received,2026-06-30
PMT-000009,CUST-0005,2026-02-14,1407.41,EUR,Wire,BR-000009,INV-000017,Ironclad Health,received,2026-02-14
PMT-000010,CUST-0005,2026-02-20,1407.41,EUR,Card,BR-000010,INV-000018,Ironclad Health,received,2026-02-20
PMT-000011,CUST-0005,2026-04-10,982.46,EUR,ACH,BR-000011,INV-000019,Ironclad Health,received,2026-04-10
PMT-000012,CUST-0007,2025-10-29,14150.0,USD,Card,BR-000012,INV-000022,Sterling Ventures,received,2025-10-29
PMT-000013,CUST-0007,2025-09-03,11025.0,USD,ACH,BR-000013,INV-000023,Sterling Ventures,received,2025-09-03
PMT-000014,CUST-0007,2025-09-27,11025.0,USD,Wire,BR-000014,INV-000024,Sterling Ventures,received,2025-09-27
PMT-000015,CUST-0007,2025-11-06,11025.0,USD,Wire,BR-000015,INV-000025,Sterling Ventures,received,2025-11-06
PMT-000016,CUST-0007,2025-12-12,11025.0,USD,Wire,BR-000016,INV-000026,Sterling Ventures,received,2025-12-12
PMT-000017,CUST-0007,2025-12-12,11025.0,USD,ACH,BR-000017,INV-000027,Sterling Ventures,received,2025-12-12
PMT-000018,CUST-0007,2026-01-14,11025.0,USD,Card,BR-000018,INV-000028,Sterling Ventures,received,2026-01-14
PMT-000019,CUST-0007,2026-02-23,11025.0,USD,ACH,BR-000019,INV-000029,Sterling Ventures,received,2026-02-23
PMT-000020,CUST-0007,2026-04-23,11025.0,USD,ACH,BR-000020,INV-000030,Sterling Ventures,received,2026-04-23
PMT-000021,CUST-0007,2026-04-11,11025.0,USD,Wire,BR-000021,INV-000031,Sterling Ventures,received,2026-04-11
PMT-000022,CUST-0007,2026-05-27,11025.0,USD,Wire,BR-000022,INV-000032,Sterling Ventures,received,2026-05-27
PMT-000023,CUST-0007,2026-04-01,17600.0,USD,Wire,BR-000023,INV-000035,Sterling Ventures,received,2026-04-01
PMT-000024,CUST-0007,2026-06-30,17600.0,USD,Wire,BR-000024,INV-000036,Sterling Ventures,received,2026-06-30
PMT-000025,CUST-0007,2025-09-02,22100.0,USD,Card,BR-000025,INV-000037,Sterling Ventures,received,2025-09-02
PMT-000026,CUST-0008,2026-05-02,2859814.4,USD,Wire,BR-000026,INV-000038,Tideline Holdings,received,2026-05-02
PMT-000027,CUST-0009,2026-06-27,507685.03,GBP,ACH,BR-000027,INV-000039,Northwind Media,received,2026-06-27
PMT-000028,CUST-0011,2025-10-29,623333.33,ARS,Wire,BR-000028,INV-000040,Lumen Labs,received,2025-10-29
PMT-000029,CUST-0011,2025-11-08,623333.33,ARS,ACH,BR-000029,INV-000041,Lumen Labs,received,2025-11-08
PMT-000030,CUST-0011,2026-01-06,623333.33,ARS,ACH,BR-000030,INV-000042,Lumen Labs,received,2026-01-06
PMT-000031,CUST-0011,2026-01-30,623333.33,ARS,Wire,BR-000031,INV-000043,Lumen Labs,received,2026-01-30
PMT-000032,CUST-0011,2026-02-10,623333.33,ARS,Wire,BR-000032,INV-000044,Lumen Labs,received,2026-02-10
PMT-000033,CUST-0011,2026-03-07,623333.33,ARS,ACH,BR-000033,INV-000045,Lumen Labs,received,2026-03-07
PMT-000034,CUST-0011,2026-04-25,623333.33,ARS,ACH,BR-000034,INV-000046,Lumen Labs,received,2026-04-25
PMT-000035,CUST-0011,2026-06-10,623333.33,ARS,ACH,BR-000035,INV-000048,Lumen Labs,received,2026-06-10
PMT-000036,CUST-0011,2026-06-30,623333.33,ARS,ACH,BR-000036,INV-000049,Lumen Labs,received,2026-06-30
PMT-000037,CUST-0011,2026-01-05,1792952.92,ARS,Wire,BR-000037,INV-000052,Lumen Labs,received,2026-01-05
PMT-000038,CUST-0011,2026-01-21,2289355.99,ARS,Wire,BR-000038,INV-000053,Lumen Labs,received,2026-01-21
PMT-000039,CUST-0011,2026-02-03,3045169.02,ARS,Card,BR-000039,INV-000054,Lumen Labs,received,2026-02-03
PMT-000040,CUST-0011,2026-03-31,2466597.68,ARS,Wire,BR-000040,INV-000055,Lumen Labs,received,2026-03-31
PMT-000041,CUST-0011,2026-04-16,3036846.7,ARS,ACH,BR-000041,INV-000056,Lumen Labs,received,2026-04-16
PMT-000042,CUST-0011,2026-06-01,2381477.34,ARS,ACH,BR-000042,INV-000058,Lumen Labs,received,2026-06-01
PMT-000043,CUST-0011,2026-06-26,3113456.2,ARS,Wire,BR-000043,INV-000059,Lumen Labs,received,2026-06-26
PMT-000044,CUST-0011,2025-06-16,10340000.01,ARS,Wire,BR-000044,INV-000062,Lumen Labs,received,2025-06-16
PMT-000045,CUST-0012,2026-06-30,5388.89,EUR,ACH,BR-000045,INV-000064,Pioneer Retail,received,2026-06-30
PMT-000046,CUST-0012,2026-02-10,6333.34,EUR,ACH,BR-000046,INV-000065,Pioneer Retail,received,2026-02-10
