collections_activity_id,invoice_id,customer_id,activity_date,activity_type,owner,promise_to_pay_date,promised_amount,outcome,next_step,escalation_level,created_at
COL-000001,INV-000006,CUST-0001,2026-06-23,Dunning notice,N. Costa,2026-07-22,580765.28,Promise to pay,Follow up,0,2026-06-30
COL-000002,INV-000006,CUST-0001,2026-06-10,Dunning notice,N. Costa,2026-06-04,506979.74,Promise to pay,Follow up,0,2026-06-30
COL-000003,INV-000013,CUST-0003,2026-05-18,Call,C. Bianchi,2026-06-27,1084.23,Promise to pay,Follow up,2,2026-06-30
COL-000004,INV-000013,CUST-0003,2026-06-26,Escalation,C. Bianchi,,,Dispute raised,Send statement,0,2026-06-30
COL-000005,INV-000021,CUST-0007,2026-06-09,Call,A. Romero,,,No response,Follow up,1,2026-06-30
COL-000006,INV-000021,CUST-0007,2026-06-03,Call,A. Romero,,,No response,Escalate,1,2026-06-30
COL-000007,INV-000033,CUST-0007,2026-06-19,Dunning notice,A. Romero,,,No response,Follow up,1,2026-06-30
COL-000008,INV-000033,CUST-0007,2026-05-28,Call,A. Romero,,,No response,Escalate,1,2026-06-30
COL-000009,INV-000033,CUST-0007,2026-06-09,Email,A. Romero,,,No response,Follow up,0,2026-06-30
COL-000010,INV-000047,CUST-0011,2026-06-24,Call,T. Nguyen,,,Paid,Follow up,0,2026-06-30
COL-000011,INV-000047,CUST-0011,2026-05-24,Dunning notice,T. Nguyen,,,No response,Follow up,0,2026-06-30
COL-000012,INV-000057,CUST-0011,2026-06-27,Dunning notice,T. Nguyen,,,Paid,Follow up,0,2026-06-30
COL-000013,INV-000057,CUST-0011,2026-06-16,Call,T. Nguyen,,,No response,Follow up,0,2026-06-30
COL-000014,INV-000057,CUST-0011,2026-06-03,Escalation,T. Nguyen,,,No response,Escalate,0,2026-06-30
COL-000015,INV-000067,CUST-0013,2026-05-28,Call,D. Fischer,,,Paid,Send statement,0,2026-06-30
COL-000016,INV-000069,CUST-0013,2026-06-11,Email,D. Fischer,,,No response,Escalate,1,2026-06-30
COL-000017,INV-000069,CUST-0013,2026-05-20,Escalation,D. Fischer,,,Paid,Follow up,0,2026-06-30
COL-000018,INV-000080,CUST-0013,2026-05-20,Email,D. Fischer,2026-07-09,1898.89,Promise to pay,Send statement,3,2026-06-30
COL-000019,INV-000080,CUST-0013,2026-06-28,Email,D. Fischer,,,Left message,Follow up,1,2026-06-30
COL-000020,INV-000085,CUST-0013,2026-06-18,Call,D. Fischer,,,Dispute raised,Follow up,0,2026-06-30
COL-000021,INV-000085,CUST-0013,2026-05-20,Call,D. Fischer,,,No response,Send statement,0,2026-06-30
COL-000022,INV-000114,CUST-0017,2026-05-30,Call,N. Costa,2026-07-16,650277.52,Promise to pay,Follow up,1,2026-06-30
COL-000023,INV-000114,CUST-0017,2026-06-29,Call,N. Costa,,,Dispute raised,Follow up,3,2026-06-30
COL-000024,INV-000114,CUST-0017,2026-06-03,Email,N. Costa,,,Left message,Follow up,2,2026-06-30
COL-000025,INV-000157,CUST-0023,2026-06-21,Call,A. Romero,,,No response,Follow up,0,2026-06-30
COL-000026,INV-000157,CUST-0023,2026-06-10,Call,A. Romero,2026-07-12,52339.27,Promise to pay,Follow up,0,2026-06-30
COL-000027,INV-000161,CUST-0025,2026-05-25,Dunning notice,M. Silva,,,Paid,Follow up,3,2026-06-30
COL-000028,INV-000161,CUST-0025,2026-05-22,Call,M. Silva,,,No response,Follow up,2,2026-06-30
COL-000029,INV-000163,CUST-0025,2026-06-10,Email,M. Silva,,,Left message,Follow up,1,2026-06-30
COL-000030,INV-000165,CUST-0025,2026-05-19,Email,M. Silva,,,Paid,Escalate,0,2026-06-30
COL-000031,INV-000165,CUST-0025,2026-05-31,Email,M. Silva,2026-07-16,22046.73,Promise to pay,Send statement,1,2026-06-30
COL-000032,INV-000177,CUST-0028,2026-05-30,Escalation,S. Cohen,,,Left message,Follow up,0,2026-06-30
COL-000033,INV-000177,CUST-0028,2026-06-11,Call,S. Cohen,,,No response,Follow up,0,2026-06-30
COL-000034,INV-000186,CUST-0028,2026-06-09,Dunning notice,S. Cohen,2026-06-18,11457.17,Promise to pay,Follow up,0,2026-06-30
COL-000035,INV-000186,CUST-0028,2026-06-09,Email,S. Cohen,,,Dispute raised,Send statement,0,2026-06-30
COL-000036,INV-000206,CUST-0031,2026-05-20,Call,R. Brooks,2026-07-06,36802.59,Promise to pay,Follow up,0,2026-06-30
COL-000037,INV-000219,CUST-0031,2026-06-21,Call,R. Brooks,,,Paid,Send statement,0,2026-06-30
COL-000038,INV-000219,CUST-0031,2026-05-29,Email,R. Brooks,,,No response,Follow up,0,2026-06-30
