period,customer_id,contract_id,legal_entity,currency,opening_deferred_revenue,billings,recognized_revenue,adjustments,fx_impact,closing_deferred_revenue
2026-05,CUST-0001,CTR-00001,Acme Brasil Ltda,BRL,0.0,1082416.67,1082416.67,0.0,0.0,0.0
2025-04,CUST-0001,CTR-00002,Acme Brasil Ltda,BRL,0.0,3672250.0,3672250.0,0.0,0.0,0.0
2025-05,CUST-0001,CTR-00002,Acme Brasil Ltda,BRL,0.0,3672250.0,3672250.0,0.0,0.0,0.0
2026-04,CUST-0001,CTR-00004,Acme Brasil Ltda,BRL,0.0,656166.67,656166.67,0.0,0.0,0.0
2026-05,CUST-0001,CTR-00004,Acme Brasil Ltda,BRL,0.0,656166.67,656166.67,0.0,0.0,0.0
2025-07,CUST-0001,CTR-00005,Acme Brasil Ltda,BRL,0.0,8411500.0,8411500.0,0.0,0.0,0.0
2025-03,CUST-0002,CTR-00007,Acme US Inc,USD,0.0,22800.0,22800.0,0.0,0.0,0.0
2025-08,CUST-0002,CTR-00008,Acme US Inc,USD,0.0,30964.45,30964.45,0.0,0.0,0.0
2026-04,CUST-0003,CTR-00010,Acme US Inc,USD,0.0,1596.04,1596.04,0.0,0.0,0.0
2026-05,CUST-0003,CTR-00010,Acme US Inc,USD,0.0,1716.64,1716.64,0.0,0.0,0.0
2025-11,CUST-0005,CTR-00013,Acme EU GmbH,EUR,0.0,1172.84,1172.84,0.0,0.0,0.0
2025-12,CUST-0005,CTR-00013,Acme EU GmbH,EUR,0.0,1172.84,1172.84,0.0,0.0,0.0
2026-01,CUST-0005,CTR-00013,Acme EU GmbH,EUR,0.0,1172.84,1172.84,0.0,0.0,0.0
2025-08,CUST-0007,CTR-00016,Acme US Inc,USD,0.0,14150.0,14150.0,0.0,0.0,0.0
2025-09,CUST-0007,CTR-00016,Acme US Inc,USD,0.0,14150.0,14150.0,0.0,0.0,0.0
2025-07,CUST-0007,CTR-00017,Acme US Inc,USD,0.0,11025.0,11025.0,0.0,0.0,0.0
2025-08,CUST-0007,CTR-00017,Acme US Inc,USD,0.0,11025.0,11025.0,0.0,0.0,0.0
2025-09,CUST-0007,CTR-00017,Acme US Inc,USD,0.0,11025.0,11025.0,0.0,0.0,0.0
2025-10,CUST-0007,CTR-00017,Acme US Inc,USD,0.0,11025.0,11025.0,0.0,0.0,0.0
2025-11,CUST-0007,CTR-00017,Acme US Inc,USD,0.0,11025.0,11025.0,0.0,0.0,0.0
2025-12,CUST-0007,CTR-00017,Acme US Inc,USD,0.0,11025.0,11025.0,0.0,0.0,0.0
2026-01,CUST-0007,CTR-00017,Acme US Inc,USD,0.0,11025.0,11025.0,0.0,0.0,0.0
2026-02,CUST-0007,CTR-00017,Acme US Inc,USD,0.0,11025.0,11025.0,0.0,0.0,0.0
2026-03,CUST-0007,CTR-00017,Acme US Inc,USD,0.0,11025.0,11025.0,0.0,0.0,0.0
2026-04,CUST-0007,CTR-00017,Acme US Inc,USD,0.0,11025.0,11025.0,0.0,0.0,0.0
2026-05,CUST-0007,CTR-00017,Acme US Inc,USD,0.0,11025.0,11025.0,0.0,0.0,0.0
2026-02,CUST-0007,CTR-00018,Acme US Inc,USD,0.0,17600.0,5866.67,0.0,0.0,11733.33
2026-03,CUST-0007,CTR-00018,Acme US Inc,USD,11733.33,0.0,5866.67,0.0,0.0,5866.66
2026-04,CUST-0007,CTR-00018,Acme US Inc,USD,5866.66,0.0,5866.67,0.0,0.0,-0.01
2026-05,CUST-0007,CTR-00018,Acme US Inc,USD,-0.01,17600.0,5866.67,0.0,0.0,11733.32
2025-07,CUST-0007,CTR-00020,Acme US Inc,USD,0.0,22100.0,22100.0,0.0,0.0,0.0
2026-03,CUST-0008,CTR-00022,Acme US Inc,USD,0.0,2859814.4,2859814.4,0.0,0.0,0.0
2026-04,CUST-0009,CTR-00023,Acme UK Ltd,GBP,0.0,423070.86,141023.62,0.0,0.0,282047.24
2026-05,CUST-0009,CTR-00023,Acme UK Ltd,GBP,282047.24,0.0,141023.62,0.0,0.0,141023.62
2025-07,CUST-0011,CTR-00028,Acme Argentina SA,ARS,0.0,515151.51,515151.51,0.0,0.0,0.0
2025-08,CUST-0011,CTR-00028,Acme Argentina SA,ARS,0.0,515151.51,515151.51,0.0,0.0,0.0
2025-09,CUST-0011,CTR-00028,Acme Argentina SA,ARS,0.0,515151.51,515151.51,0.0,0.0,0.0
2025-10,CUST-0011,CTR-00028,Acme Argentina SA,ARS,0.0,515151.51,515151.51,0.0,0.0,0.0
2025-11,CUST-0011,CTR-00028,Acme Argentina SA,ARS,0.0,515151.51,515151.51,0.0,0.0,0.0
2025-12,CUST-0011,CTR-00028,Acme Argentina SA,ARS,0.0,515151.51,515151.51,0.0,0.0,0.0
2026-01,CUST-0011,CTR-00028,Acme Argentina SA,ARS,0.0,515151.51,515151.51,0.0,0.0,0.0
2026-02,CUST-0011,CTR-00028,Acme Argentina SA,ARS,0.0,515151.51,515151.51,0.0,0.0,0.0
2026-03,CUST-0011,CTR-00028,Acme Argentina SA,ARS,0.0,515151.51,515151.51,0.0,0.0,0.0
2026-04,CUST-0011,CTR-00028,Acme Argentina SA,ARS,0.0,515151.51,515151.51,0.0,0.0,0.0
2026-05,CUST-0011,CTR-00028,Acme Argentina SA,ARS,0.0,515151.51,515151.51,0.0,0.0,0.0
2025-09,CUST-0011,CTR-00029,Acme Argentina SA,ARS,0.0,1481779.27,1481779.27,0.0,0.0,0.0
2025-10,CUST-0011,CTR-00029,Acme Argentina SA,ARS,0.0,1892029.74,1892029.74,0.0,0.0,0.0
2025-11,CUST-0011,CTR-00029,Acme Argentina SA,ARS,0.0,2516668.61,2516668.61,0.0,0.0,0.0
2025-12,CUST-0011,CTR-00029,Acme Argentina SA,ARS,0.0,2362565.59,2362565.59,0.0,0.0,0.0
2026-01,CUST-0011,CTR-00029,Acme Argentina SA,ARS,0.0,2509790.66,2509790.66,0.0,0.0,0.0
2026-02,CUST-0011,CTR-00029,Acme Argentina SA,ARS,0.0,1471872.37,1471872.37,0.0,0.0,0.0
2026-03,CUST-0011,CTR-00029,Acme Argentina SA,ARS,0.0,1968163.09,1968163.09,0.0,0.0,0.0
2026-04,CUST-0011,CTR-00029,Acme Argentina SA,ARS,0.0,2573104.3,2573104.3,0.0,0.0,0.0
2026-05,CUST-0011,CTR-00029,Acme Argentina SA,ARS,0.0,1424127.58,1424127.58,0.0,0.0,0.0
2025-03,CUST-0011,CTR-00030,Acme Argentina SA,ARS,0.0,8545454.55,8545454.55,0.0,0.0,0.0
2026-05,CUST-0012,CTR-00035,Acme EU GmbH,EUR,0.0,4490.74,1496.91,0.0,0.0,2993.83
2026-01,CUST-0012,CTR-00036,Acme EU GmbH,EUR,0.0,5277.78,5277.78,0.0,0.0,0.0
